"pestcode","pestdesc"
"XAPO   ","POOL FUNCTIONS - SEE LABEL"
"XAS    ","SURFACTANT"
"XASP   ","CLARIFIER"
"XATPC  ","PRE-CONDITIONING TREATMENT"
"XDCS   ","HARD WATER SCALE"
"XDEFV&M","VITAMIN & MINERAL DEFICIENCY"
"XGAD   ","GENERAL DISINFECTION"
"XIRR   ","IRRITATION"
"XNUW   ","UNTHRIFTINESS"
"XRVA   ","VASCULAR SYSTEM REACTANT"
"XSES   ","ECZEMA"
"XYGIS  ","GRAIN INSECT PESTS -EXCLUSIONS SEE LABEL"
"YANTE  ","ANTHRACNOSE - ELSINOE ROSARUM"
"YANTG  ","ANTHRACNOSE ON MANGO"
"YANTH  ","ANTHRACNOSE - MARSSONINA PANATTONIANA"
"YBACC  ","BACTERIAL CANKER ON TOMATO"
"YBLAC  ","LEAF BLIGHT - ALTERNARIA CUCUMERINA"
"YBLG1  ","GUMMY STEM BLIGHT - DIDYMELLA BRYONIAE"
"YBLI1  ","BLIGHT - PHOMA DAHLIAE"
"YBLIF  ","LEAF BLIGHT - ALTERNARIA DAUCI"
"YBLIG  ","GUMMY STEM BLIGHT OR SPUR BLIGHT"
"YBLIS  ","SPUR BLIGHT"
"YBLIY  ","CANE BLIGHT OR DIEBACK"
"YBLLB1 ","LEAF BLIGHT (A. FABAE) - SUPPRESSION"
"YBLP   ","PHYTOPHTHORA BLIGHT"
"YBLR   ","RUST BLIGHT"
"YBLSS  ","SEPTORIA LEAF BLOTCH - SUPPESSION"
"YBLT   ","TARGET BLIGHT"
"YDAO   ","DAMPING OFF - RHIZOCTONIA SPP."
"YDEBL  ","SEED DECAY / SEEDLING BLIGHT"
"YDISL  ","LATE SUMMER DISEASE"
"YDISO  ","RATOON STUNTING DISEASE"
"YFUD   ","FUNGAL DISEASES"
"YFUNW  ","WOOD FUNGUS"
"YFURD  ","DRY ROT FUNGUS"
"YFUSR  ","RHIZOCTONIA SOIL FUNGUS"
"YGANG  ","GANGRENE - PHOMA EXIGUA"
"YGBS   ","GLUME BLOTCH - SUPPRESSION"
"YHEET  ","TURCICUM LEAF BLIGHT"
"YLF    ","LEAF FRECKLE"
"YMID   ","DOWNY MILDEW"
"YMID9  ","DOWNY MILDEW - PERONSPORA CRISTATA"
"YMIDP  ","DOWNY MILDEW ON GRAPE"
"YMILC  ","DOWNY MILDEW ON CUCURBIT"
"YMILW  ","POWDERY MILDEW ON WHEAT"
"YMIP2  ","POWDERY MILDEW - SPHAEROTHECA SPP."
"YMIPL  ","POWDERY MILDEW - LEVEILLULA SPP."
"YMIS   ","POWDERY MILDEW OF SEEDLING INFECTION"
"YMOU2  ","LEAF MOULD - FULVIA SPP."
"YMOUY1 ","BUNCH ROT"
"YPATFC ","BROWN PATCH - FUSARIUM CULMORUM"
"YPM    ","PINK MOULD ROT"
"YPSEUS ","PSEUDOCERCOSPORO SPP."
"YRHI1  ","RHIZOPUS SOFT ROT"
"YROB1  ","BROWN ROT - SCLEROTINIA SPP."
"YROCC  ","COLLETOTRICHUM CROWN ROT"
"YROD2  ","PHYTOPHTHORA ROOT ROT - P. NICOTIANAE"
"YRODN  ","STEM END ROT - DIPLODIA NATALENSIS"
"YROR   ","ROOT ROT - PHYTOPHTHORA CINNAMOMI"
"YROSC  ","SCLEROTINIA MINOR"
"YROSW  ","WATERY SOFT ROT"
"YROTB3 ","BOTRYOSPHAERIA DOTHIDEA"
"YROTG  ","BROWN FRUIT ROT - MONILINIA FRUCTICOLA"
"YROTK  ","BROWN ROT - MONILINIA SPP."
"YROTN  ","NECK LEAF BLIGHT BOTRYTIS ROT"
"YROW   ","WHITE ROT - SCLEROTIUM CEPIVORUM"
"YRS    ","HYPOCOTYL ROT ON POTATO"
"YRUO   ","ORANGE RUST"
"YRUPD  ","RUST - PUCCINIA DISTINCTA"
"YRUSP  ","YELLOW OR STRIPE RUST"
"YRUSS  ","STEM RUST"
"YSCA   ","CITRUS SCAB"
"YSCDB1 ","LEAF SCALD - SUPPRESSION"
"YSCUB  ","BLACK STEM CANKER SCURF"
"YSHOT  ","SHOTHOLE"
"YSILL  ","SILVER LEAF"
"YSMUB  ","BOIL SMUT"
"YSPAA  ","BLACK SPOT ON APPLES"
"YSPBA  ","BLACK SPOT ON GRAPES - ELSINOE AMPELINA"
"YSPBO  ","BACTERIAL LEAF SPOT - X. CAMPESTRIS"
"YSPC   ","CLADOSPORIUM"
"YSPCF1 ","FRUIT SPECKLE - SUPPRESSION (D. TORULOSA"
"YSPEL  ","EYESPOT LODGING"
"YSPL4  ","BACTERIAL LEAF SPOT - P. ANDROPOGONIS"
"YSPO   ","LEAF SPOT"
"YSPO1  ","BROWN SPOT ON PASSIONFRUIT"
"YSPO11 ","CORDANA LEAF SPOT - SUPPRESSION"
"YSPO7  ","BROWN SPOT ON MANDARIN"
"YSPS3  ","SEPTORIA SPOT ON TOMATO"
"YSPYL  ","YELLOW LEAF SPOT ON WHEAT"
"YWILT  ","FUSARIUM ROOTROT WILT"
"ZACA0  ","ACACIA OR WATTLE SEEDLING"
"ZACA12 ","SALLY WATTLE"
"ZACAD  ","GREEN OR EARLY BLACK WATTLE"
"ZACAS  ","COOBA"
"ZACAS2 ","SILVER WATTLE - SEEDLING"
"ZAES1  ","BUDDA PEA - SUPPRESSION"
"ZAGERS ","MISTFLOWER - SUPPRESSION"
"ZAGR1  ","BENT GRASS - AGROSTIS TENUIS"
"ZAGRA  ","BLOWN GRASS"
"ZALGB1 ","BLUE-GREEN ALGAE - CYANOPHYCEAE"
"ZALGD  ","GREEN ALGAE"
"ZALI   ","ALISMA"
"ZALIL  ","WATER PLANTAIN"
"ZALOX  ","FOXTAIL - SEEDLING"
"ZALSC  ","BITTER BARK OR QUININE TREE"
"ZALTH  ","ALLIGATOR WEED"
"ZALTP  ","KHAKI WEED"
"ZAMAH  ","REDSHANK,SLIM OR SPLEEN AMARANTH"
"ZAMAR2 ","REDROOT AMARANTH - PRE EMERGENCE"
"ZAMBC  ","BURR RAGWEED"
"ZANA1  ","BLUE PIMPERNEL"
"ZANG   ","ANGOPHORA"
"ZANNW  ","ANNUAL WEEDS"
"ZARIC  ","SILVERGRASS - ARISTIDA CONTORTA"
"ZASOB  ","SOYBEAN - SEEDLING"
"ZASP   ","ASPARAGUS FERN"
"ZASPF  ","ONION WEED"
"ZATAH  ","WHITEWOOD"
"ZATR   ","SALTBUSH"
"ZATRM  ","SALTBUSH OR ANNUAL SALTBUSH"
"ZBACH  ","GROUNDSEL BUSH"
"ZBLUE1 ","BLUETOP - SEEDLING"
"ZBOE1  ","TARVINE - SEEDLING"
"ZBORX  ","SQUARE WEED - SEEDLING"
"ZBRA1  ","BRASSICA OR CRUCIFER"
"ZBRA4  ","TWIGGY TURNIP"
"ZBRA5  ","VOLUNTEER TURNIP"
"ZBRAX  ","GREEN SUMMER GRASS - SEEDLING"
"ZBRO   ","BROME GRASS"
"ZBROA  ","SAND BROME"
"ZBROC  ","PRAIRIE OR ANNUAL PRAIRIE GRASS"
"ZBURS  ","AUSTRALIAN OR NATIVE BLACKTHORN"
"ZCAL1  ","MOUNTAIN SORREL/PURPLE CALANDRINIA"
"ZCAP1  ","SHEPHERD'S PURSE - SUPPRESSION"
"ZCARX  ","HOARY CRESS - SEEDLING"
"ZCAS2  ","SIFTON BUSH/CHINESE SCRUB - SUPPRESSION"
"ZCASL  ","WILD ROSEMARY"
"ZCASO  ","SICKLE POD"
"ZCENI  ","SPINY BURRGRASS,SANDBURR OR GENTLE ANNIE"
"ZCENS  ","ST BARNABY'S THISTLE"
"ZCERS  ","CEREAL - SELF-SOWN"
"ZCHEC  ","CRESTED GOOSEFOOT"
"ZCHEX  ","STINKING GOOSEFOOT - SEEDLING"
"ZCITA  ","PIE MELON"
"ZCLEH  ","SPIDER FLOWER OR CLEOME"
"ZCM    ","CUCUMBER MELON"
"ZCO1   ","BELLFRUIT TREE"
"ZCOMB  ","HAIRY WANDERING JEW"
"ZCON   ","PERENNIAL BINDWEED OR CONVOLVULUS"
"ZCORY1 ","CORYMBIA SPP."
"ZCRU   ","CRUCIFEROUS WEED"
"ZCT    ","BUTTERFLY PEA"
"ZCYPR2 ","NUTGRASS - SUPPRESSION"
"ZDAN   ","WALLABY GRASS"
"ZDATF  ","FIERCE THORNAPPLE"
"ZDICS  ","QUEENSLAND BLUEGRASS"
"ZDIG1  ","SUMMER GRASSES - SUPPRESSION"
"ZDIGC  ","FINGER PANIC GRASS"
"ZDIGX  ","SUMMER OR CRAB GRASS - SEEDLING"
"ZDIPF2 ","SILVER TOP GRASS - SUPPRESSION"
"ZEHH   ","ROSELLA"
"ZELE1  ","CROWSFOOT GRASS - SUPPRESSION"
"ZELE2  ","CROWSFOOT GRASS - PRE EMERGENCE"
"ZERAC  ","AFRICAN LOVEGRASS"
"ZERAP  ","WEEPING LOVEGRASS"
"ZERAX  ","MEXICAN LOVEGRASS - SEEDLING"
"ZERH   ","SPRING OR EARLY-SPRING GRASS"
"ZERH1  ","EARLY SPRING GRASS"
"ZERO   ","ERODIUM, CROWFOOT OR STORKSBILL"
"ZERO2  ","ERODIUM SPP."
"ZEROCS ","COMMON STORKBILL SEEDLING"
"ZEROX  ","ERODIUM (STORKSBILL) - SEEDLING"
"ZEUBL  ","BLAKELY'S RED GUM OR GUM"
"ZEUC1  ","EUCALYPTUS - SEE LABEL FOR EXCEPTIONS"
"ZEUC6  ","YORRELL"
"ZEUCA  ","WHITE POPLAR GUM"
"ZEUCC  ","MOUNTAIN GREY OR MONKEY GUM"
"ZEUCK  ","BULLICH"
"ZEUCN  ","SPOTTED GUM"
"ZEUCOC ","YAPUNYAH"
"ZEUDE  ","TUMBLEDOWN GUM"
"ZEUMI  ","GREY BOX"
"ZEUPH  ","ASTHMA PLANT"
"ZEYWS  ","YELLOW WOOD SORREL"
"ZFALC2 ","BLACK BINDWEED - FLOWERING"
"ZFAR   ","RHYNCHOSIA"
"ZFUM2  ","FUMITORY - SEED"
"ZFUMC  ","WHITEFLOWER FUMITORY"
"ZGAL1  ","THREE-HORNED BEDSTRAW - SUPPRESSION"
"ZGALX  ","POTATO WEED - SEEDLING"
"ZGBRO1 ","BROME GRASS(BROMUS RIGIDUS)-SUPPRESSION"
"ZGCG   ","COOLATAI GRASS"
"ZGENM  ","CAPE OR MONTPELLIER BROOM"
"ZGER   ","GERANIUM"
"ZGOS2  ","VOLUNTEER COTTON - CONVENTIONAL"
"ZHALX  ","RASPWEED - SEEDLING"
"ZHELE  ","COMMON HELIOTROPE"
"ZHELZ  ","VOLUNTEER SUNFLOWER - SEEDLING"
"ZHIRIX ","BUCHAN WEED - SEEDLING"
"ZHPP   ","ST JOHN'S WORT - SUPPRESSION"
"ZHYP   ","CAT'S EARS OR FLATWEEDS"
"ZHYPP1 ","ST JOHN'S WORT - SUPPRESSION"
"ZIBIL  ","YELLOWFLOWER DEVIL'S-CLAW"
"ZISEV  ","RED FLINDERS GRASS"
"ZISOM  ","COARSE CLUBRUSH"
"ZIVY   ","IVY LEAF SPEEDWELL"
"ZJUNA  ","SPINY RUSH"
"ZJUNU  ","COMMON RUSH"
"ZKL    ","KITELEAF POISON"
"ZLAC2  ","PRICKLY LETTUCE (LACTUCA SPP.) - SEED"
"ZLAVS  ","TOPPED LAVENDER"
"ZLICH  ","LICHEN"
"ZLIG   ","PRIVET"
"ZLIG1  ","BROADLEAF PRIVET"
"ZLOLS1 ","ANNUAL RYEGRASS"
"ZLOT1  ","LOTUS OR TREFOIL"
"ZLOTR  ","ANNUAL RYEGRASS-TRIFLURALIN RESISTANT"
"ZLUDP2 ","LUDWIGIA PERUVIANA - SUPPRESSION"
"ZLUPC  ","SAND PLAIN OR W.A. BLUE LUPIN"
"ZLUPL  ","LUPINS"
"ZLUPN  ","NARROW LEAF LUPIN"
"ZLYC   ","BOXTHORN"
"ZLYTS  ","LOOSESTRIFE"
"ZMARV  ","HOREHOUND"
"ZMATL  ","NIGHT-SCENTED STOCK"
"ZMEDS  ","VOLUNTEER LUCERNE"
"ZMEDV1 ","VOLUNTEER MEDIC - SEEDLING"
"ZMEDX  ","BURR MEDIC - SEEDLING"
"ZMEDZ  ","MEDIC - SEEDLING"
"ZMEL3  ","HEXHAM SCENT - SEEDLING"
"ZMELI  ","MELILOTUS OR HEXHAM SCENT"
"ZMODC  ","REDFLOWER MALLOW"
"ZNESPS ","BALL MUSTARD - SEEDLING"
"ZNICT  ","TOBACCO SUCKER"
"ZNJH   ","JAPANESE HONEYSUCKLE"
"ZOEN   ","EVENING PRIMROSE"
"ZONOA  ","SCOTCH THISTLE"
"ZOPUF  ","INDIAN FIG"
"ZPAMH1 ","HAMIL GRASS - SEEDLING"
"ZPAN4  ","GUINEA GRASS - ESTABLISHED"
"ZPANI  ","PANIC GRASS"
"ZPAP   ","POPPY"
"ZPAPX  ","POPPY - SEEDLING"
"ZPARJ  ","PELLITORY"
"ZPARJ1 ","PELLITORY - SUPPRESSION"
"ZPAS   ","GENERAL WEED - PASTURE SPECIES"
"ZPAS2  ","PASSIONFRUIT VINE"
"ZPAS8  ","PASPALUM - ESTABLISHED"
"ZPASD  ","WATER COUCH"
"ZPASU1 ","VASEY GRASS - ESTABLISHED"
"ZPASY  ","WATER COUCH - SEEDLING"
"ZPCUC  ","PRICKLY CUCUMBER"
"ZPENS  ","CALOMBA DAISY"
"ZPENY  ","FEATHERTOP - SEEDLING"
"ZPERH  ","WATER PEPPER"
"ZPHA2  ","PERENNIAL PHALARIS - SUPPRESSION"
"ZPHAC1 ","CANARY GRASS - SEED"
"ZPHASP ","ANNUAL PHALARIS - SUPRESSION"
"ZPHAX  ","PHALARIS - SEEDLING"
"ZPHRA  ","COMMON REED OR PHRAGMITES"
"ZPHYI  ","GROUND OR ANNUAL GROUND CHERRY"
"ZPLA1  ","SAGO WEED"
"ZPLA2  ","VALLEY POPCORN FLOWER"
"ZPOCH  ","POWELL'S AMARANTH"
"ZPOR1  ","PIGWEED - SUPPRESSION"
"ZPORO  ","PERENNIAL PIGWEED"
"ZPORX  ","PIGWEED - SEEDLING"
"ZPRO   ","DEVIL'S-CLAW"
"ZRAP6  ","WILD RADISH - PRE EMERGENCE"
"ZRES1  ","WILD MIGNONETTE"
"ZRESL  ","CUTLEAF MIGNONETTE"
"ZRICB  ","WHITE EYE OR MEXICAN CLOVER"
"ZRUMV  ","WILD HOPS"
"ZSALR  ","MINTWEED"
"ZSALY  ","WILD SAGE - SEEDLING"
"ZSCHPA ","DWARF MARIGOLD"
"ZSCP   ","CAMBIA PEA"
"ZSEN   ","GROUNDSEL"
"ZSEN1  ","FIREWEED"
"ZSENJ  ","RAGWORT"
"ZSES1  ","SESBANIA PEA (SESBANIA CANNABINA) - SEED"
"ZSEW   ","SUPPRESS GROWTH TO OVERSOW WINTER SEED"
"ZSID   ","SIDA"
"ZSIDRT ","SIDA RETUSA"
"ZSILV  ","BLADDER CAMPION"
"ZSIN1  ","WILD MUSTARD (S. ARVENSIS) - SUPPRESSION"
"ZSISF  ","FAT HEN"
"ZSON1  ","SOWTHISTLE - SEEDLING"
"ZSOR   ","VOLUNTEER SORGHUM"
"ZSPESP ","SPURRY - SUPPRESSION"
"ZSPEX  ","CORN SPURRY - SEEDLING"
"ZSTA2  ","SNAKEWEED"
"ZTAR1  ","DANDELION "
"ZTBF   ","COTTON THISTLE TO BUD FORMATION"
"ZTHUA  ","BLACK-EYED SUSAN"
"ZTRAU  ","SMALL BURRGRASS"
"ZTRET  ","HEMP NETTLE"
"ZTRFD  ","YELLOW SUCKLING CLOVER"
"ZTRIT2 ","CALTROP - TRIBULIS TERRESTIS"
"ZTRIX  ","CALTROP OR YELLOW VINE - SEEDLING"
"ZTURPT ","TURPENTINE TREE"
"ZURT   ","NETTLE"
"ZVER3  ","SPEEDWELL (V. HEDERIFOLIA) - SUPPRESSION"
"ZVERB  ","PURPLE TOP"
"ZVERH  ","IVY LEAF SPEEDWELL"
"ZVERHS ","IVY LEAF SPEEDWELL - SEEDLING"
"ZVULS1 ","SILVERGRASS (VULPIA SPP.) - SUPPRESSION"
"ZWAT   ","WATSONIA"
"ZWEESE ","WEED SEED - ESTABLISHED"
"ZWEET  ","TOTAL WEED CONTROL"
"ZWEEV  ","WEED SEEDLING"
"ZWGS   ","BROADLEAF WEEDS AND GRASSES"
"ZWIC   ","ITALIAN COCKLEBUR - SUPPRESSION"
"ZWMUSS ","MUSKWEED - SEEDLING"
"ZZGSL  ","GRASS - SEEDLING (REFER TO LABEL)"
"NATS","NESTING ANTS "
"PTANT","ANT PESTS OF TURF (SEE ALIAS; INCLUDING BUT NOT LIMITED TO)"
"GMBF","GREY MOULD"
"WHCL","WHITE CLOVER "
"CAPWD","CAPEWEED - SPOT APPLICATION"
"CPWD","CAPEWEED - SPOT APPLICATION"
"WHCLS","WHITE CLOVER - SPOT APPLICATION"
"ANRYS","ANNUAL RYEGRASS - SPOT APPLICATION"
"FGRS","FOG GRASS  - SPOT APPLICATION"
"SPDR","SPIDERS"
"WIRW","WIREWEED"
"VBGX42","REDUCTION OF PCV2 VIRAEMIA"
"RFL","REFER TO LABEL OF GLYPHOSATE PRODUCT"
"RFWC","REFER TO WEEDS CONTROLLED LIST"
"RFTWE","REFER TO WEEDS CONTROLLED LIST (EXCEPT CHICKWEED)"
"PRLT","PRICKLY LETTUCE"
"ZANT","ANTS"
"RTLK","REFER TO PRODUCT LABEL FOR THE KNOCKDOWN HERBICIDE USED."
"THTL","THISTLES"
"SORP","SORREL"
"PRNG","PERENNIAL GOOSEBERRY"
"WPW","PENNYWORTH"
"ZPNK","SCARLET PIMPERNEL"
"ZCOX","CREEPING OXALIS"
"FLYS","FLIES"
"SDFY","SANDFLIES"
"CKRC","COCKROACHES"
"ZCCW","WEEDS FROM CONVENTIONAL CANOLA"
"CBBA","CORN BROMWELL - BUGLOSSOIDES ARVENSE"
"CGBA","CORN GROMWELL - BUGLOSSOIDES ARVENSE"
"DGCS","DOUBLEGEE - CRASSULA SPP."
"MSMS","MEDICS - SUPPRESSION - MEDICAGO SPP."
"SGSV","SILVER GRASS - SUPPRESSION - VULPIA SPP."
"ZCGF","CLAMMY GOOSEFOOT - SUPPRESSION"
"ZFRG","FEATHERTOP RHODES GRASS - SUPPRESSION"
"ZHTR","HELIOTROPE - SUPPRESSION"
"SHSC","SHOTHOLE SCAB"
"XAPL","PEDICEL ANT"
"ZTHP","THISTLES - PRE-EMERGENT"
"ZCEP","FLATWEED - PRE-EMERGENT"
"ZFLB","FLEABANE - PRE-EMERGENT"
"BGBD","BROME GRASS"
"BSBT","BIFORA - SUPPRESSION"
"CSBM","CANOLA - SUPPRESSION (EXCLUDING CLEARFIELD VARIETIES)"
"CSCA","CHICKPEA - SUPPRESSION"
"ZPLT","LENTIL -LENS ESCULENTUM"
"CECW","CANOLA (EXCLUDING CLEARFIELD VARIETIES)"
"ZLPN","LUPIN - LUPINUS ALBUS - SUPPRESSION"
"FCBS","FLEABANE - SUPPRESSION"
"LLAS","LUPINS - SUPPRESSION"
"SFMS","SMALLFLOWERED MALLOW - SUPPRESSION"
"SCTS","SUBCLOVER"
"LRPR","LEAF RUST "
"SEDPO","POTENTIAL OF SEDATION"
"ZBFF","BASTARD'S FUMITORY"
"ZMPA","MEXICAN POPPY "
"ZBTP","BLUETOP"
"ZBM","BURR MEDIC - SUPPRESSION"
"ZFFM","FUMITORY - SUPPRESSION"
"ZWCT","WILD CARROT - SUPPRESSION"
"CTLL","CATTLE LOUSE"
"VDHF1","PRECLINICAL MYXOMATOUS MITRAL VALVE DISEASE"
"BYDV","BARLEY YELLOW DWARF VIRUS - REDUCED SPREAD OF"
"CYDV","CEREAL YELLOW DWARF VIRUS - REDUCED SPREAD OF"
"SUFU","SULFUR FUNGICIDES"
"SOHCO","COPPER HYDROXIDE AND CUPROUS OXIDE FUNGICIDES"
"BGAS","BENT GRASS"
"GCCD","GREEN COUCH - EXCLUDES HYBRID CULTIVARS"
"MUS","A RANGE OF COMMON MUSHROOM GROWING FACILITY PATHOGENS INCLUDING CLADOBOTRYUM SPP.,LECANICILLIUM SPP.,TRICHODERMA SPP."
"MLKS","MILK THISTLE - SUPPRESSION"
"CLC","PRODUCE LARGER BRIGHTER COLOURED AND FIRMER FRUIT."
"TKP","TICKS"
"XMOR","MOSQUITO"
"HTRW","HELIOTROPE RAGWORT"
"PLTC","LACTOGENIC TRANSMISSION OF T.CATI"
"XBSA","BIOLOGICAL SOIL AMENDMENT"
"JGSS","JOHNSON GRASS - SEEDLING - SUPPRESSION"
"CGSS","CRAB GRASS - SUPPRESSION"
"CCSS","CAUSTIC CREEPER - SUPPRESSION"
"OXDA","OX-EYE DAISY"
"KAKI","KAKIWEED"
"TAMD","TOXIC & METABOLIC DISORDERS"
"NSME","METABOLIC EQUILIBRIUM"
"WBUF2","FRUIT SPOTTING BUG"
"FRM","FARM BUILDINGS"
"ANLH","ANIMAL HOUSING"
"MFB","THE MAINTENANCE OF SECURITY WHEEL AND FOOT BATHS."
"PBWG","PERENNIAL BROADLEAF WEEDS AND GRASSES"
"SCST","SUBCLOVER - SUPPRESSION"
"LGES","LOVE GRASS"
"PWGP","POTATO WEED"
"LBAM","LIGHT BROWN APPLE MOTH"
"CATERPIL","CATERPILLARS"
"WHITE FL","WHITE FLIES"
"RESHOULD","RESHOULDERED LEAF BEETLE"
"CRICKETS","CRICKETS"
"AGENTINE","AGENTINE STEM WEEVIL"
"MAWS","MOST ANNUAL WEEDS"
"CEREALS","CEREALS"
"COBBLERS","COBBLERS PEGS"
"FURNITORY","FURNITORY"
"PIGWEED ","PIGWEED "
"BARLEY G","BARLEY GRASS"
"DOUBLEGEE","DOUBLEGEE"
"WINTER GR","WINTER GRASS"
"PERENNIAL","PERENNIAL PHALARIS"
"CANARY","CANARY GRASS"
"CAPEWEED","CAPEWEED"
"WILD RAD","WILD RADISH"
"YORKSHIRE","YORKSHIRE"
"YORKSHIR","YORKSHIRE FOG"
"BARLE","BARLEY GRASS,"
"BARL","BARLEY GRASS"
"BARNYARD","BARNYARD GRASS"
"AMARANTH","AMARANTH"
"AUS BLUE","AUSTRALIAN BLUEBELL"
"MILKTHIS","MILKTHISTLE"
"KIKUYU","KIKUYU"
"SORGHUM S","SORGHUM STUBBLE - POST-HARVEST"
"CROFTON","CROFTON WEED"
"ROPE TWI","ROPE TWITCH"
"UMBRELLA","UMBRELLA"
"WATER YE","WATER LILY, YELLOW"
"RYEGRASS","RYEGRASS"
"MANY ANNU","MANY ANNUAL AND PERENNIAL GRASSES AND BROADLEAF WEEDS AS PER DIRECTIONS FOR USE TABLE."
"ZMALP2","SMALL-FLOWERED MALLOW"
"ZMALP3","SMALL-FLOWERED MALLOW"
"WTIMA","MARINE INSECT BORERS"
"AMSDS","ASSISTS IN MANAGEMENT OF SPRAY DROPLET SIZE"
"WEBSPI","WEB SPINNING SPIDER"
"ELBL","ELM LEAF BEETLE - LARVAE"
"WDGDHIU","WINTER DORMANT GRASS-DOMINANT, HIGH INTENSITY USAGE"
"PREDEFOL ","PRE-CONDITIONING OF CROP BEFORE A NORMAL DEFOLIATION IS TO OCCUR"
"FRIPENING","FRUIT RIPENING"
"AIDNUTFALL","AID HARVESTING BY PROMOTING UNIFORM NUT FALL"
"MITES","MITES"
"HELSS","HELICOVERPA SPP. - SUPPRESSION "
"ADJUVANT","AS AN ADJUVANT"
"SRGS","SORGHUM - GRAIN"
"PHYMUL","PHYTOPHTHORA MULTIVORA"
"GENA","IMPROVEMENT IN RECOVERY FROM GENERAL ANAESTHESIA"
"SACF","STRAWBERRY APHID"
"OTSO","ONION THRIPS - SUPPRESSION ONLY"
"ANNUAL R","ANNUAL RYEGRASS"
"SRR","SUGARCANE RATOON REGROWTH"
"SUBCLOVER","SUB CLOVER"
"PRDY","PYTHIUM ROOT DYSFUCTION"
"WWAGS","CITRUS GALL WASP - SUPPRESSION"
"FEAR","FEAR"
"ZAUBL","AUSTRALIAN BLACKTHORN"
"BTBT","BORERS AND TERMITES"
"VCBVPA","CONTROL OF BACTERIA, VIRUSES, PROTOZOA AND ALGAE"
"WASPS","WASPS"
"XAAEE","INCREASE AVERAGE FRUIT SIZE AND ENHANCE FRUIT SHAPE"
"OPPS","REGULATE POPPY PLANT HEIGHT AND POTENTIALLY INCREASE CROP YIELD"
"YROTAB","SIDE ROT"
"CGBLW","CONTROL OF MANY GRASSES AND BROADLEAF WEEDS"
"ANAPW","CONTROL OF ANNUAL AND PERENNIAL WEEDS"
"ZEROCC","COMMON STORKBILL"
"ZBRGB","GREAT BROME"
"ZRTF1","RATS TAIL FESCUE"
"VGST3","AID IN QUIETENING EXCITABLE, NERVOUS, UNRULY OR HARD TO HANDLE HORSES"
"BLACKASSO","BLACKBERRY IN ASSOCIATION WITH: DOCKS, RAGWORT, SMARTWEED, THISTLES"
"CUTLEAFM","CUT LEAF MIGNONETTE"
"DEVILSFIG","DEVIL?S FIG"
"WILDGARLIC","WILD GARLIC"
"SMOTREPEA","SMOOTH TREE PEAR"
"PSTEMROT","PHYTOPHTHORA STEM ROT"
"ZPHV2","WILD GOOSEBERRY - PHYSALIS SPP."
"FOMP","FUSARIUM OR MICRODOCHIUM PATCH"
"ANUL","ANNUAL GRASS AND SOME BROADLEAF WEED CONTROL (SEE LABEL FOR EXCEPTIONS) "
"ANPC","ANNUAL AND PERENNIAL CLOVER"
"GRSG","GRASSES"
"DSEROT","DIPLODIA STEM END ROT"
"DRIEDPULSE","DRIED PULSES"
"RATS","RATS"
"MICE","MICE"
"STIMGROWTH","STIMULATION OF LATERAL GROWTH ON NON-BEARING TREES"
"CHRYSAPH","CHRYSANTHEMUM APHID"
"RWA","RUSSIAN WHEAT APHID"
"FIELDPEAS","FIELD PEAS"
"CHICKPEA","CHICK PEAS"
"DURBANGR","DURBAN GRASS"
"QLDBLUECO","QLD BLUE COUCH"
"ZOYSIA","ZOYSIA"
"COUCHVAR","COUCH VARIETIES"
"GREENLESSP","GREENLESS PARK"
"SLENDERTH","SLENDER THISTLE"
"GGPP","GROWTH PROMOTANT"
"CONTBACAL","CONTROL OF BACTERIA AND ALGAE"
"WREPE","WILD RADISH - EARLY POST EMERGENCE "
"DEPE","DEADNETTLE - EARLY POST EMERGENCE "
"SSVS","SARCOPTES SCABIEI VAR SUIS"
"PLAINTAIN","PLAINTAIN"
"BPS","BIPOLARIS SOROIKINIANA"
"FA23","FUSARIUM ACUMINATUM"
"PHYTOCRYP","PHYTOPHTHORA CRYPTOGEA"
"PYTHISULC","PYTHIUM SULCATUM"
"RHIZOFRAG","RHIZOCTONIA FRAGARIAE"
"SCHROLFSI","SCHLEROTIUM ROLFSI"
"STESPP","STEINERNEMA SPP."
"SPREGARVE","SPREGULA ARVENSIS"
"OROBAEGYP","OROBANCHE AEGYPTIACA"
"SCALD","SCALD"
"SCSC","SCLERONTINIA SCLEROTIORUM"
"CTTN","COTTON"
"NVYB","NAVY BEANS"
"PNUT","PEANUTS"
"SOYB","SOYBEANS"
"SGRC","SUGARCANE"
"FRST","FORESTS"
"ONNN","ONIONS - POST-PLANT, PRE-EMERGENCE APPLICATION"
"BANA","BANANA"
"BLUBE","BLUEBERRIES"
"YORKS","YORKSHIRE FOG"
"COLBW","COLUMBUS WEED"
"MOSQ","MOSQUITO"
"RUSTGRB","RUSTY GRAIN BEETLE "
"ABBL","AFRICAN BLACK BEETLE LARVAE"
"BPCL","BLACKHEADED PASTURE COCKCHAFER LARVAE"
"GRASSHOP","GRASSHOPPERS"
"GONG","GONGYLONEMA SPP."
"MECT","MECISTOCIRRUS SPP."
"SKJ","SKRJABINEMA SPP."
"BSSO","BACTERIAL SPOT - SUPPRESSION ONLY"
"RATCOT","RATOON COTTON"
